country,model,reasoning,run_number,attempt,TT4G35A,TT4G35B,TT4G35C,TT4G35D,TT4G35E,TT4G35F,TT4G35G,TT4G35H,TT4G35I,TT4G35J,llm_response_id
United Arab Emirates,openai.gpt-5.2,none,7,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,d2881d4c-c0c8-4fa4-9ef2-fef05b87166e
United Arab Emirates,google.gemini-3-flash-preview,none,3,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,ce855618-0d82-4ba8-96ba-72b46413cf9d
United Arab Emirates,openai.gpt-5.2,high,2,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,a8f82189-3193-4bd8-9e98-4fa720bf0042
United Arab Emirates,openai.gpt-5.2,high,1,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,92fcd3a7-17aa-49f9-bd80-a4c3238dec2d
United Arab Emirates,google.gemini-3-flash-preview,none,4,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,539ee595-d5b3-4f18-89b0-5d7fb42e2b45
United Arab Emirates,google.gemini-3-flash-preview,none,7,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,71afa4ab-8588-4693-b2c4-14219f7a8133
United Arab Emirates,google.gemini-3-flash-preview,none,1,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,290780ee-45b6-44b2-88cc-a9a8eedd51ed
United Arab Emirates,google.gemini-3-flash-preview,none,9,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,fac7e78b-b5bd-4d7b-a7c8-6daa77e878a1
United Arab Emirates,google.gemini-3-flash-preview,none,10,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,7578feb4-cfbc-4eb7-b0f7-be2a70484f4b
United Arab Emirates,openai.gpt-5.2,high,9,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,a38a342c-c131-4282-abf9-5b2f1b19798a
