country,question_id,run_number,attempt,response_from_llm,response_score,model,llm_response_id
United Arab Emirates,TT4G35A,1,1,Agree,3,gpt-4o,944dacb1-64a9-4802-9f20-4c4f18a64f61
United Arab Emirates,TT4G35B,1,1,Strongly agree,4,gpt-4o,2f012c1d-84b9-4d65-95c2-2b9d57f291f3
United Arab Emirates,TT4G35C,1,1,Agree,3,gpt-4o,321ef5d2-b00c-4472-90f5-b0d66941460e
United Arab Emirates,TT4G35D,1,1,Agree,3,gpt-4o,14f4faaa-b231-4817-beb5-fbacec7a49b6
United Arab Emirates,TT4G35E,1,1,Agree,3,gpt-4o,5bcd27c4-ce45-4b04-a16d-873a6770e2ac
United Arab Emirates,TT4G35F,1,1,Agree,3,gpt-4o,0c41c1f6-040f-436c-b428-e1fcde9d46f8
United Arab Emirates,TT4G35G,1,1,Agree,3,gpt-4o,a363c162-5913-4709-8eb2-bc03df0bee1a
United Arab Emirates,TT4G35H,1,1,Agree,3,gpt-4o,3cd05e44-6a0e-43fe-b057-7a222e885f7f
United Arab Emirates,TT4G35I,1,1,Agree,3,gpt-4o,2e91850a-c1b6-4e1b-80be-cf8da21ffd8f
United Arab Emirates,TT4G35J,1,1,Disagree,2,gpt-4o,6a79e12c-c1d9-491f-8f17-3188920ce998
Australia,TT4G35A,1,1,Agree,3,gpt-4o,b1a819b7-e5b6-4e04-aeaa-c436302c8249
Australia,TT4G35B,1,1,Agree,3,gpt-4o,17a97668-620a-4b58-beb9-9e89e094bb71
Australia,TT4G35C,1,1,Agree,3,gpt-4o,a6bdc874-cd0e-4504-a720-753ab8f43c32
Australia,TT4G35D,1,1,Agree,3,gpt-4o,810ad0ee-fbfd-4610-8eeb-6cc2a0d8846c
Australia,TT4G35E,1,1,Agree,3,gpt-4o,cb184edc-c017-4a95-84bd-166460d2dd6a
Australia,TT4G35F,1,1,Agree,3,gpt-4o,84f4109c-c080-4c84-b551-9a0b83d47f61
Australia,TT4G35G,1,1,Agree,3,gpt-4o,eb0d9e7a-2d4f-4fc2-869a-6bacf0ca52dc
Australia,TT4G35H,1,1,Agree,3,gpt-4o,a138db35-d6a7-44af-86d0-27f5c355c0d0
Australia,TT4G35I,1,1,Agree,3,gpt-4o,998e5a6d-ff5d-4839-9a2b-56d76650e16c
Australia,TT4G35J,1,1,Disagree,2,gpt-4o,597891b9-7055-4b8f-813e-cbcec8815fd2
Belgium,TT4G35A,1,1,Agree,3,gpt-4o,6dee5ae9-14f1-4bfe-829c-1cf4298706fd
Belgium,TT4G35B,1,1,Agree,3,gpt-4o,5834503e-7b8f-4034-8272-01067c3d953f
