country,model,reasoning,run_number,attempt,TT4G35A,TT4G35B,TT4G35C,TT4G35D,TT4G35E,TT4G35F,TT4G35G,TT4G35H,TT4G35I,TT4G35J,llm_response_id
United Arab Emirates,xai.grok-4-fast-non-reasoning,none,8,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,43b2f9f8-1b62-4dfb-86a8-3be0245a1eeb
United Arab Emirates,xai.grok-4-fast-non-reasoning,none,10,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,548ac869-11e7-48cc-affc-04b63ca535e1
United Arab Emirates,xai.grok-4-fast-non-reasoning,none,5,1,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,f63b4377-aed7-4ee4-b48b-164eb0053663
United Arab Emirates,google.gemini-3-flash-preview,none,10,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,b33e9d09-34df-4311-9c66-40c0ed5393db
United Arab Emirates,openai.gpt-5.2,none,5,1,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,9f61b2cc-5ee4-4607-976b-4c9b4b1313c2
United Arab Emirates,xai.grok-4-fast-non-reasoning,none,6,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,5e1678d6-29b1-4bd8-a5f0-1b9730930d2b
United Arab Emirates,xai.grok-4-fast-non-reasoning,none,3,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,8fec91d6-0fa8-4911-ba2f-dd8a6727a77c
United Arab Emirates,xai.grok-4-fast-non-reasoning,none,9,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,505365f7-aa3c-4041-adc5-47026716857f
United Arab Emirates,openai.gpt-5.2,high,6,1,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,1e4158aa-caba-4730-b233-2b0509c5af5b
United Arab Emirates,google.gemini-3-flash-preview,none,4,1,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,b9ee87fd-14c0-4871-b9f8-92cd36b20b5b
United Arab Emirates,openai.gpt-5.2,high,8,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,da3c284d-4f8f-4df2-8b15-0e3f67636bd5
United Arab Emirates,google.gemini-3-flash-preview,none,9,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,5a68d98c-ffc2-4dac-b5d4-def8e563674c
United Arab Emirates,google.gemini-3-flash-preview,none,6,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,63900b3c-9f88-4a3f-bab1-b2f245cf6553
United Arab Emirates,xai.grok-4-fast-non-reasoning,none,7,1,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Disagree,Disagree,df144b18-3c14-49db-b21c-fbf357911c16
United Arab Emirates,google.gemini-3-flash-preview,none,7,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,358eb0ef-a993-4021-aed2-d1a7c3eec921
United Arab Emirates,xai.grok-4-fast-non-reasoning,none,2,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,c0c8f018-1b44-4e55-8a88-8e3b715c41ad
United Arab Emirates,openai.gpt-5.2,none,8,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,893757f6-6994-415c-addd-e300595502f4
United Arab Emirates,google.gemini-3-flash-preview,none,2,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,4999f272-10fc-42fd-9863-b39d9fd3785a
United Arab Emirates,openai.gpt-5.2,none,1,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,e6d52807-f38d-43c5-b814-c78f8a7b1559
United Arab Emirates,google.gemini-3-flash-preview,none,5,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,ae30b17d-7811-42f4-a280-6d8366cddc96
United Arab Emirates,google.gemini-3-flash-preview,none,8,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,4f015e3b-b61e-4e49-bd5b-5d0382e7200b
United Arab Emirates,openai.gpt-5.2,high,1,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,b444d9d1-cc4b-4c0b-853b-e4c142cd47b0
United Arab Emirates,openai.gpt-5.2,high,2,1,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,6eef30f8-8448-482a-8ec6-66348c107568
United Arab Emirates,openai.gpt-5.2,high,5,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,45f272ae-5522-47a3-840d-673bc0eb6c9a
United Arab Emirates,google.gemini-3-flash-preview,none,3,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,46d8075a-888a-4a09-b130-5f2b5079d6d0
United Arab Emirates,openai.gpt-5.2,high,4,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,26e3d609-7a0d-415c-950e-d15eff7a3b66
United Arab Emirates,openai.gpt-5.2,none,3,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,d3dd2355-15c9-43a0-b635-fca20414a6d1
United Arab Emirates,openai.gpt-5.2,none,2,1,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,f7abbffe-8d2c-4a32-a1f6-1dd531024d4d
United Arab Emirates,openai.gpt-5.2,none,7,1,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,20031746-36cd-4d51-b6a2-3abfa9ac8b8e
United Arab Emirates,openai.gpt-5.2,high,3,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,a403d2ec-e292-4a28-b1ae-345362b7be8a
United Arab Emirates,openai.gpt-5.2,high,7,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,ec2c05da-2f43-47ba-b402-d12f77a02cc7
United Arab Emirates,openai.gpt-5.2,none,4,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,5aa5f3f4-ab44-4d6c-9b6d-29e7d70b4f54
United Arab Emirates,openai.gpt-5.2,high,10,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,82b84a77-006f-4fb0-b478-d5f533fc8f52
United Arab Emirates,openai.gpt-5.2,none,9,1,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,4e60340d-ef9a-454f-97e9-bd22ccf1ed6e
United Arab Emirates,openai.gpt-5.2,high,9,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,333d7424-8a8f-4c5a-8b29-e402b55b0749
United Arab Emirates,google.gemini-3-flash-preview,none,1,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,2bae6a80-fdee-4f34-819d-315d059a2a9a
United Arab Emirates,xai.grok-4-fast-non-reasoning,none,4,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,18736e15-1828-466b-a7eb-915e70fb38e4
United Arab Emirates,xai.grok-4-fast-non-reasoning,none,1,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,41ab5166-a2a4-4ad9-954c-715b173b33c1
United Arab Emirates,openai.gpt-5.2,none,6,1,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,c539e056-4502-4d4a-bbe0-999abddbf2b8
United Arab Emirates,openai.gpt-5.2,none,10,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,53039d20-9775-4f8b-8d83-77d6cf59e0d0
