country,model,reasoning,run_number,attempt,TT4G35A,TT4G35B,TT4G35C,TT4G35D,TT4G35E,TT4G35F,TT4G35G,TT4G35H,TT4G35I,TT4G35J,llm_response_id
generic,google.gemini-3-flash-preview,none,6,1,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,7995d32c-c4a3-42e3-b5ef-f01482d3f42c
generic,google.gemini-3-flash-preview,none,8,1,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,52932884-2139-4819-8551-f2e248cc7f96
generic,google.gemini-3-flash-preview,none,1,1,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,7c8369c1-9e17-4142-98c3-e0d7b34e5a89
generic,google.gemini-3-flash-preview,none,2,1,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,5b7d007c-1398-487d-a50b-0c897447a119
generic,google.gemini-3-flash-preview,none,3,1,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,ba2c29e5-2ed5-4f19-b711-6904f8242a7e
generic,google.gemini-3-flash-preview,none,4,1,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,34f896e8-1a9a-4a00-aa96-cef6da888e6a
generic,google.gemini-3-flash-preview,none,9,1,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,7cb2a66f-50aa-4769-b647-8af383e420b6
generic,google.gemini-3-flash-preview,none,7,1,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,5af4978e-cc07-467c-bc56-7df8d6b6d728
generic,google.gemini-3-flash-preview,none,5,1,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,76e0e5de-ea1d-40cb-87f0-0d3a43824aaf
generic,google.gemini-3-flash-preview,none,10,1,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,ee62159d-0997-4bf2-858d-fa24b4dd255f
generic,openai.gpt-5.2,high,1,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,1193c05a-8c37-40c3-9791-9e040ab1b2ad
generic,openai.gpt-5.2,none,9,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,16c79c1e-a0d6-430d-8944-2770e409077d
generic,openai.gpt-5.2,none,6,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,52456e09-99f8-4035-9c2e-e96a88729536
