country,model,reasoning,run_number,attempt,TT4G35A,TT4G35B,TT4G35C,TT4G35D,TT4G35E,TT4G35F,TT4G35G,TT4G35H,TT4G35I,TT4G35J,llm_response_id
United Arab Emirates,google.gemini-3-flash-preview,none,5,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,b13791dc-e1f6-4e65-9ff3-76ca15b71790
United Arab Emirates,google.gemini-3-flash-preview,none,3,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,2c0a57ee-03a5-4c9f-9d53-5956e0ac968a
United Arab Emirates,google.gemini-3-flash-preview,none,1,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,889761c1-cb6b-444d-b5c1-2ca76f492bc0
United Arab Emirates,google.gemini-3-flash-preview,none,7,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,7a5d410d-2d46-477a-be26-796efa5bf9f3
United Arab Emirates,google.gemini-3-flash-preview,none,6,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,5526dc2b-dd93-4501-be2d-c08192a75866
United Arab Emirates,google.gemini-3-flash-preview,none,9,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,4eff7d44-f1a1-4654-a7af-359afb345a1c
United Arab Emirates,google.gemini-3-flash-preview,none,4,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,2430a037-33f9-4070-a43b-855a3fcc852b
United Arab Emirates,google.gemini-3-flash-preview,none,10,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,98013290-4fdc-4eea-b6cb-3d974af30932
United Arab Emirates,google.gemini-3-flash-preview,none,2,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,e9b2d8c1-7b04-4bcc-a0f2-2b9bef938b64
United Arab Emirates,openai.gpt-5.2,none,8,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,a4c62c3f-e0d7-43e2-9117-0a98f1d0af77
United Arab Emirates,openai.gpt-5.2,high,2,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,819a1116-aea1-4a1a-9aa7-337f0ade8817
United Arab Emirates,openai.gpt-5.2,none,6,1,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,c327b618-bda3-4e2f-ab10-e0a677fe4f68
United Arab Emirates,openai.gpt-5.2,none,2,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,89083865-d1f6-4b28-8a94-0821b82d775a
United Arab Emirates,openai.gpt-5.2,high,9,1,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,fc19c435-b31f-4424-afe2-ac541a702e9f
United Arab Emirates,openai.gpt-5.2,none,1,1,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,ded50954-62e3-4949-b4d1-cdd6f2740ecf
United Arab Emirates,openai.gpt-5.2,high,4,1,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,2863f117-6060-4a61-9acd-ddf944fa9c39
United Arab Emirates,openai.gpt-5.2,none,9,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,03d02d04-a59f-442f-87a1-0a16800a1f70
United Arab Emirates,openai.gpt-5.2,high,8,1,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,a7cb696d-cc68-4335-9ac4-bdc7d7b3cbf5
United Arab Emirates,openai.gpt-5.2,none,4,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,93ee9ef8-cecf-47a2-850d-702a50bcfbb0
United Arab Emirates,openai.gpt-5.2,none,3,1,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,820dd50b-8ce7-4a02-8e22-5e6b6e85610a
United Arab Emirates,openai.gpt-5.2,none,7,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,278495a9-9f08-444e-8e1a-37d40b778e89
United Arab Emirates,openai.gpt-5.2,none,10,1,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,ebf5656c-d4d6-4c4b-a675-edcc2619c982
United Arab Emirates,google.gemini-3-flash-preview,none,8,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,75e277f6-058e-4921-a6b1-65416341b0d8
United Arab Emirates,openai.gpt-5.2,high,1,1,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,0a5fa9bf-c940-4185-af90-2da27bb16707
United Arab Emirates,openai.gpt-5.2,high,3,1,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,d9137b6f-cbe5-4670-b364-1cc9cfc99212
United Arab Emirates,openai.gpt-5.2,none,5,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,c903136f-999a-4309-ac68-a6626f0e7dd7
United Arab Emirates,openai.gpt-5.2,high,7,1,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,64fc1320-1f2f-4728-aec5-e1bdd1013612
United Arab Emirates,anthropic.claude-4.5-haiku,low,2,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,c649f95c-e2d6-4208-b290-e4c599d58dd4
United Arab Emirates,anthropic.claude-4.5-haiku,low,3,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,c224329b-b4fe-4a07-a7c5-1d14a9e8d6f5
United Arab Emirates,anthropic.claude-4.5-haiku,low,9,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,52dd6dc1-d632-44d9-9066-5336c5493195
United Arab Emirates,anthropic.claude-4.5-haiku,low,6,1,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,c2b004fb-292f-443e-9d84-077a3a6db320
United Arab Emirates,anthropic.claude-4.5-haiku,low,8,1,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,4e4cb439-c3b4-48cf-ab5f-b06536114a3e
United Arab Emirates,anthropic.claude-4.5-haiku,low,10,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,56b6f490-7e91-4d8a-a7b8-f339b68f4515
United Arab Emirates,anthropic.claude-4.5-haiku,high,3,1,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,48a4d0f8-3a9d-4aa3-82ea-e56875892165
United Arab Emirates,anthropic.claude-4.5-haiku,high,2,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,61b36b14-0f9a-4ab5-88e2-b005de53b3a7
United Arab Emirates,openai.gpt-5.2,high,6,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,53b1a73d-2de7-4f81-b397-0716c09c413d
United Arab Emirates,anthropic.claude-4.5-haiku,low,7,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,4a003bee-19cc-4146-abb4-4b5902a293e9
United Arab Emirates,anthropic.claude-4.5-haiku,low,4,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,e15ebfd5-a101-404e-bab3-311f50f6f8ec
United Arab Emirates,anthropic.claude-4.5-haiku,high,6,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,74e35297-279a-4e31-8b79-0fbf34b34b77
United Arab Emirates,anthropic.claude-4.5-haiku,high,7,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,0b4d2569-d4d6-4d66-8f1c-57ac75bc8d34
United Arab Emirates,anthropic.claude-4.5-haiku,low,5,1,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,b76356ce-1986-4ad8-9750-8a9330dbe21e
United Arab Emirates,openai.gpt-5.2,high,5,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,23e1c074-a4b3-4991-b978-7bdbaabffb69
United Arab Emirates,anthropic.claude-4.5-haiku,high,9,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,4b3fb2dc-c295-4fd8-a1c1-aee7af49249d
United Arab Emirates,google.gemini-3-flash-preview,high,3,1,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,ce5c419d-689c-40ac-b5b8-cfbde4fc6bea
United Arab Emirates,xai.grok-4-fast-reasoning,high,2,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,36c4d78f-8f6b-479d-8104-17ca6d35774a
United Arab Emirates,anthropic.claude-4.5-haiku,high,4,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,3995df09-f41f-4350-af15-fa5a6502f7ff
United Arab Emirates,xai.grok-4-fast-reasoning,high,1,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,1b61f043-9952-45df-b439-53bdfa957c18
United Arab Emirates,anthropic.claude-4.5-haiku,high,10,1,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,8e597b17-f7c1-4153-aedf-1a397b12f585
United Arab Emirates,xai.grok-4-fast-reasoning,high,5,1,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,a908aaf1-e8f1-4a8c-a764-11bb9433453f
United Arab Emirates,anthropic.claude-4.5-haiku,high,1,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,f637ff0d-9b7a-443e-98f9-7bac7102e056
United Arab Emirates,anthropic.claude-4.5-haiku,low,1,1,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,b53398e0-3c00-4e76-8888-3e20e6437048
United Arab Emirates,xai.grok-4-fast-reasoning,high,3,1,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,70ca125a-d31e-48ca-87f8-e6572fce4278
United Arab Emirates,xai.grok-4-fast-reasoning,high,9,1,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Disagree,7457eae9-f469-487e-bf23-b2b8d14cd669
United Arab Emirates,xai.grok-4-fast-reasoning,high,10,1,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,3418ce0d-4ca9-421f-8a64-7998ca2b7be1
United Arab Emirates,xai.grok-4-fast-reasoning,high,6,1,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Disagree,db001754-3caf-4bf3-a3ae-4bfcd5cb4450
United Arab Emirates,xai.grok-4-fast-reasoning,high,4,1,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,00fdbce5-5cdd-46fa-9de6-1ee02bf30809
United Arab Emirates,google.gemini-3-flash-preview,high,8,1,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,b65b6fcd-3d83-4250-a357-e2c8cd593c29
United Arab Emirates,google.gemini-3-flash-preview,high,2,1,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,f85be4fb-6076-4964-aa51-f1229f1015ae
United Arab Emirates,openai.gpt-5.2,high,10,1,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,24dc9a6e-935e-464f-9a40-3f098b01818c
United Arab Emirates,xai.grok-4-fast-reasoning,high,7,1,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,b71ced95-0e6b-442a-8ae4-3c3201f697d5
United Arab Emirates,xai.grok-4-fast-reasoning,high,8,1,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,c3ab7461-b1f3-4695-a74d-24d780e98db2
United Arab Emirates,google.gemini-3-flash-preview,high,5,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,234c0900-2c12-4407-8f86-b0916b7190bd
United Arab Emirates,google.gemini-3-flash-preview,high,10,1,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,053a6c63-772c-4841-9ec1-72a88fb346be
United Arab Emirates,google.gemini-3-flash-preview,high,4,1,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,82538bf6-f6f9-43eb-af89-5a01a656bd14
United Arab Emirates,anthropic.claude-4.5-haiku,high,8,1,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,ca456a23-1bb0-43b7-9348-aec27fc82faa
United Arab Emirates,google.gemini-3-flash-preview,high,9,1,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,11670bdf-f7ad-4b68-9aa0-ad4da24bc87d
United Arab Emirates,anthropic.claude-4.5-haiku,high,5,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,64ae2a7c-d606-4549-a15c-5718c6526f10
United Arab Emirates,google.gemini-3-flash-preview,high,6,1,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Disagree,350838a6-e5d4-4c6e-8101-c23188ed53f0
United Arab Emirates,xai.grok-4-fast-non-reasoning,none,10,1,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,ea2b512c-64d3-427d-b82a-98ac733b3cfa
United Arab Emirates,google.gemini-3-flash-preview,high,7,1,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,366402d5-e5b1-4f02-a44e-2fc59678657f
United Arab Emirates,xai.grok-4-fast-non-reasoning,none,6,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,6d20b717-ff1e-4607-96d9-89dd07b13ef6
United Arab Emirates,xai.grok-4-fast-non-reasoning,none,9,1,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,6ef1e1e6-ad38-4e5c-a651-afa6bf72daf7
United Arab Emirates,google.gemini-3-flash-preview,high,1,1,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,de19a226-63ff-4e2c-b47a-e792bd6d631a
