country,question_id,run_number,attempt,response_from_llm,response_score,model,llm_response_id
United Arab Emirates,TT4G35G,1,1,Strongly agree,4,gpt-5,18533111-4997-42f1-836e-8c6792a427e8
United Arab Emirates,TT4G35I,1,1,Agree,3,gpt-5,a570383e-4d37-4fab-abd2-e1a2a96bb598
United Arab Emirates,TT4G35H,1,1,Agree,3,gpt-5,6ffe4ec0-7c19-4bba-805e-5572b4d31693
United Arab Emirates,TT4G35B,1,1,Agree,3,gpt-5,6c3aa0d5-00f5-45e0-a45f-23b5dbcf1bc7
United Arab Emirates,TT4G35C,1,1,Agree,3,gpt-5,ce7be2c6-9208-430f-a1a1-3469393413f1
United Arab Emirates,TT4G35A,1,1,Agree,3,gpt-5,79889e05-48e1-42ee-b7d4-06394b501eee
United Arab Emirates,TT4G35F,1,1,Strongly agree,4,gpt-5,e358f774-53d9-4c15-bc4b-e95a22f27089
United Arab Emirates,TT4G35J,1,1,Disagree,2,gpt-5,19e61c9f-ea66-4595-922b-4c993bb0ec04
United Arab Emirates,TT4G35D,1,1,Agree,3,gpt-5,44d850b7-55a4-4453-bf43-4314bdce9085
United Arab Emirates,TT4G35E,1,1,Agree,3,gpt-5,85ac3ab5-6ffa-400e-aea7-ebb7747555d2
Australia,TT4G35G,1,1,Strongly agree,4,gpt-5,62c9e4ad-ead3-4118-b9bf-44c9b95a44cf
Australia,TT4G35A,1,1,Agree,3,gpt-5,a8997d38-2a80-47f2-9a0f-a883d0f53f7c
Australia,TT4G35F,1,1,Strongly agree,4,gpt-5,d24181c4-4ff2-4ba5-b7b7-2cf305b6097b
Australia,TT4G35B,1,1,Agree,3,gpt-5,610d1abd-5db2-4a0b-a5e9-f4faad9d9a14
Australia,TT4G35H,1,1,Agree,3,gpt-5,118ef877-dbaf-4122-9e94-7e1bbe1bfbdf
Australia,TT4G35C,1,1,Agree,3,gpt-5,167761a3-16bb-4a2c-8b5e-e8eaa974869f
Australia,TT4G35E,1,1,Agree,3,gpt-5,8afdec7c-d818-44d4-ac5e-a8c39f80f674
Australia,TT4G35D,1,1,Agree,3,gpt-5,8e611a89-6ddb-41f6-8b79-708cba12413b
Australia,TT4G35J,1,1,Disagree,2,gpt-5,478ef019-5a4d-4568-aebf-183234978fc3
Australia,TT4G35I,1,1,Agree,3,gpt-5,9db33a13-3147-4e72-afc5-3ead8b401271
Belgium,TT4G35F,1,1,Strongly agree,4,gpt-5,48c7223a-d729-45a8-865c-2b344989a435
Belgium,TT4G35G,1,1,Agree,3,gpt-5,53f2a32e-f925-46f7-a63d-c673986e1a4b
Belgium,TT4G35H,1,1,Agree,3,gpt-5,c019157b-ea72-4464-96f4-3d300ad52a5a
Belgium,TT4G35J,1,1,Agree,3,gpt-5,ff447a02-3793-4fa6-84db-0e4840070c54
Belgium,TT4G35D,1,1,Agree,3,gpt-5,26ee91ae-0fb3-43a4-b99d-dc6231dad066
Belgium,TT4G35B,1,1,Agree,3,gpt-5,2cafcef4-8822-40dc-99a7-6ecc4060dfd8
Belgium,TT4G35C,1,1,Agree,3,gpt-5,e6337f4b-be38-4b15-b828-cfbb1515ffb6
Belgium,TT4G35A,1,1,Agree,3,gpt-5,c18c3772-6727-4e06-bf21-45106c29ffcd
Belgium,TT4G35I,1,1,Agree,3,gpt-5,31d90c32-abfd-44c7-aaa7-1fda792c99a5
Belgium,TT4G35E,1,1,Agree,3,gpt-5,25c4abaa-d4ea-45fd-8a2c-79e9767da14f
Flemish Comm. (Belgium),TT4G35B,1,1,Agree,3,gpt-5,90ad18d5-e8cb-48a5-bea7-5ead8583a497
Flemish Comm. (Belgium),TT4G35A,1,1,Agree,3,gpt-5,b2efb24a-8bc4-43b6-8240-a8a1b8d0cce9
Flemish Comm. (Belgium),TT4G35D,1,1,Agree,3,gpt-5,c02cde6c-1b49-453a-a7e3-93a19e371c06
Flemish Comm. (Belgium),TT4G35C,1,1,Agree,3,gpt-5,60e696d1-672a-48da-9175-b7d72d5a2821
